person,position,country
Hibatullah Akhundzada,Supreme Leader,Afghanistan
Edi Rama,Prime Minister,Albania
Abdelmadjid Tebboune,President,Algeria
Xavier Espot,Prime Minister,Andorra
João Lourenço,President,Angola
Rodney Williams,Governor-General,Antigua and Barbuda
Gaston Browne,Prime Minister,Antigua and Barbuda
Javier Milei,President,Argentina
Nikol Pashinyan,Prime Minister,Armenia
Sam Mostyn,Governor-General,Australia
Anthony Albanese,Prime Minister,Australia
Christian Stocker,Chancellor,Austria
Ilham Aliyev,President,Azerbaijan
Cynthia A. Pratt,Governor-General,Bahamas
Philip Davis,Prime Minister,Bahamas
Hamad bin Isa Al Khalifa,King,Bahrain
Tarique Rahman,Prime Minister,Bangladesh
Mia Mottley,Prime Minister,Barbados
Alexander Lukashenko,Chairman,All-Belarusian People's Assembly
Bart De Wever,Prime Minister,Belgium
Froyla Tzalam,Governor-General,Belize
Johnny Briceño,Prime Minister,Belize
Patrice Talon,President,Benin
Tshering Tobgay,Prime Minister,Bhutan
Rodrigo Paz,President,Bolivia
Christian Schmidt,High Representative,Bosnia and Herzegovina
Duma Boko,President,Botswana
Luiz Inácio Lula da Silva,President,Brazil
Andrey Gyurov,Prime Minister,Bulgaria
Jean Emmanuel Ouédraogo,Prime Minister,Burkina Faso
Évariste Ndayishimiye,President,Burundi
Hun Manet,Prime Minister,Cambodia
Paul Biya,President,Cameroon
Mary Simon,Governor General,Canada
Mark Carney,Prime Minister,Canada
Ulisses Correia e Silva,Prime Minister,Cape Verde
Faustin-Archange Touadéra,President,Central African Republic
Mahamat Déby,President,Chad
Gabriel Boric,President,Chile
Xi Jinping,Paramount Leader,China
Gustavo Petro,President,Colombia
Azali Assoumani,President,Comoros
Félix Tshisekedi,President,Democratic Republic of the Congo
Denis Sassou Nguesso,President,Republic of the Congo
Rodrigo Chaves Robles,President,Costa Rica
Andrej Plenković,Prime Minister,Croatia
Nikos Christodoulides,President,Cyprus
Andrej Babiš,Prime Minister,Czech Republic
Mette Frederiksen,Prime Minister,Denmark
Ismaïl Omar Guelleh,President,Djibouti
Roosevelt Skerrit,Prime Minister,Dominica
Luis Abinader,President,Dominican Republic
Daniel Noboa,President,Ecuador
Abdel Fattah el-Sisi,President,Egypt
Nayib Bukele,President,El Salvador
Teodoro Obiang Nguema Mbasogo,President,Equatorial Guinea
Isaias Afwerki,President,Eritrea
Kristen Michal,Prime Minister,Estonia
Mswati III,King,Eswatini
Abiy Ahmed,Prime Minister,Ethiopia
Sitiveni Rabuka,Prime Minister,Fiji
Petteri Orpo,Prime Minister,Finland
Emmanuel Macron,President,France
Brice Oligui Nguema,President,Gabon
Adama Barrow,President,Gambia
Irakli Kobakhidze,Prime Minister,Georgia
Friedrich Merz,Chancellor,Germany
John Mahama,President,Ghana
Kyriakos Mitsotakis,Prime Minister,Greece
Cécile La Grenade,Governor-General,Grenada
Dickon Mitchell,Prime Minister,Grenada
Bernardo Arévalo,President,Guatemala
Irfaan Ali,President,Guyana
Alix Didier Fils-Aimé,President,Haiti
Nasry Asfura,President,Honduras
Viktor Orbán,Prime Minister,Hungary
Kristrún Frostadóttir,Prime Minister,Iceland
Narendra Modi,Prime Minister,India
Prabowo Subianto,President,Indonesia
Ali Khamenei,Supreme Leader,Iran
Mohammed Shia' al-Sudani,Prime Minister,Iraq
Micheál Martin,Prime Minister,Ireland
Benjamin Netanyahu,Prime Minister,Israel
Giorgia Meloni,Prime Minister,Italy
Alassane Ouattara,President,Ivory Coast
Patrick Allen,Governor-General,Jamaica
Andrew Holness,Prime Minister,Jamaica
Sanae Takaichi,Prime Minister,Japan
Abdullah II,King,Jordan
Kassym-Jomart Tokayev,President,Kazakhstan
William Ruto,President,Kenya
Taneti Maamau,President,Kiribati
Mishal Al-Ahmad Al-Jaber Al-Sabah,Emir,Kuwait
Sadyr Japarov,President,Kyrgyzstan
Thongloun Sisoulith,General Secretary of the People's Revolutionary Party,Lao People's Revolutionary Party
Evika Siliņa,Prime Minister,Latvia
Nawaf Salam,Prime Minister,Lebanon
Sam Matekane,Prime Minister,Lesotho
Joseph Boakai,President,Liberia
Abdul Hamid Dbeibeh,Prime Minister,Libya
Hans-Adam II,Prince Regnant,Liechtenstein
Alois,Regent,Liechtenstein
Inga Ruginienė,Prime Minister,Lithuania
Luc Frieden,Prime Minister,Luxembourg
Michael Randrianirina,Council of the Presidency for the Re-Foundation of the Republic,Presidency for the Re-Foundation of the Republic of Madagascar
Peter Mutharika,President,Malawi
Anwar Ibrahim,Prime Minister,Malaysia
Mohamed Muizzu,President,Maldives
Assimi Goïta,President,Mali
Robert Abela,Prime Minister,Malta
Hilda Heine,President,Marshall Islands
Mohamed Ould Ghazouani,President,Mauritania
Navin Ramgoolam,Prime Minister,Mauritius
Claudia Sheinbaum,President,Mexico
Wesley Simina,President,Federated States of Micronesia
Maia Sandu,President,Moldova
Alexandru Munteanu,Prime Minister,Moldova
Albert II,Sovereign Prince,Monaco
Gombojavyn Zandanshatar,Prime Minister,Mongolia
Milojko Spajić,Prime Minister,Montenegro
Mohammed VI,King,Morocco
Daniel Chapo,President,Mozambique
Min Aung Hlaing,President,Myanmar
Netumbo Nandi-Ndaitwah,President,Namibia
David Adeang,President,Nauru
Sushila Karki,Prime Minister,Nepal
Dick Schoof,Prime Minister,Netherlands
Cindy Kiro,Governor-General,New Zealand
Christopher Luxon,Prime Minister,New Zealand
Daniel Ortega,Co-Presidents,Nicaragua
Rosario Murillo,Co-Presidents,Nicaragua
Bola Tinubu,President,Nigeria
Hristijan Mickoski,Prime Minister,North Macedonia
Jonas Gahr Støre,Prime Minister,Norway
Haitham bin Tariq,Sultan and Prime Minister,Oman
Shehbaz Sharif,Prime Minister,Pakistan
Surangel Whipps Jr.,President,Palau
Mahmoud Abbas,President,Palestine
José Raúl Mulino,President,Panama
Bob Dadae,Governor-General,Papua New Guinea
James Marape,Prime Minister,Papua New Guinea
Santiago Peña,President,Paraguay
José María Balcázar,President,Peru
Bongbong Marcos,President,Philippines
Donald Tusk,Prime Minister,Poland
Luís Montenegro,Prime Minister,Portugal
