person,position,country,wikidata_id,gender,page_length,num_references,num_languages
Hibatullah Akhundzada,Supreme Leader,Afghanistan,Q24237654,male,312.0,145.0,65.0
Edi Rama,Prime Minister,Albania,Q316901,male,171.0,256.0,75.0
Abdelmadjid Tebboune,President,Algeria,Q2821166,male,97.0,142.0,69.0
João Lourenço,President,Angola,Q28650390,male,179.0,74.0,60.0
Rodney Williams,Governor-General,Antigua and Barbuda,Q17566330,male,46.0,40.0,28.0
Gaston Browne,Prime Minister,Antigua and Barbuda,Q17177542,male,41.0,60.0,37.0
Nikol Pashinyan,Prime Minister,Armenia,Q7035479,male,607.0,341.0,70.0
Sam Mostyn,Governor-General,Australia,Q105100733,female,109.0,158.0,23.0
Anthony Albanese,Prime Minister,Australia,Q335697,male,606.0,540.0,74.0
Christian Stocker,Chancellor,Austria,Q64576653,male,201.0,27.0,37.0
Ilham Aliyev,President,Azerbaijan,Q57371,male,364.0,249.0,110.0
Cynthia A. Pratt,Governor-General,Bahamas,Q4376482,female,29.0,33.0,17.0
Hamad bin Isa Al Khalifa,King,Bahrain,Q57352,male,45.0,137.0,74.0
Tarique Rahman,Prime Minister,Bangladesh,Q7686199,male,209.0,127.0,29.0
Mia Mottley,Prime Minister,Barbados,Q6827147,female,228.0,124.0,57.0
Alexander Lukashenko,Chairman,All-Belarusian People's Assembly,Q2866,male,498.0,439.0,126.0
Bart De Wever,Prime Minister,Belgium,Q336599,male,193.0,166.0,49.0
Froyla Tzalam,Governor-General,Belize,Q106601151,female,57.0,38.0,23.0
Johnny Briceño,Prime Minister,Belize,Q6266369,male,76.0,53.0,31.0
Patrice Talon,President,Benin,Q16669148,male,29.0,44.0,60.0
Tshering Tobgay,Prime Minister,Bhutan,Q7849613,male,57.0,42.0,38.0
Duma Boko,President,Botswana,Q18618881,male,144.0,41.0,31.0
Andrey Gyurov,Prime Minister,Bulgaria,Q110313525,male,38.0,14.0,11.0
Jean Emmanuel Ouédraogo,Prime Minister,Burkina Faso,Q116056730,male,61.0,21.0,11.0
Évariste Ndayishimiye,President,Burundi,Q27329764,male,112.0,57.0,41.0
Hun Manet,Prime Minister,Cambodia,Q13024351,male,225.0,100.0,40.0
Paul Biya,President,Cameroon,Q57272,male,270.0,151.0,75.0
Mary Simon,Governor General,Canada,Q6780723,female,176.0,202.0,35.0
Mark Carney,Prime Minister,Canada,Q192533,male,550.0,399.0,82.0
Ulisses Correia e Silva,Prime Minister,Cape Verde,Q23899522,male,58.0,17.0,38.0
Faustin-Archange Touadéra,President,Central African Republic,Q57758,male,164.0,69.0,60.0
Mahamat Déby,President,Chad,Q16206405,male,403.0,90.0,40.0
Gabriel Boric,President,Chile,Q16297876,male,186.0,340.0,79.0
Xi Jinping,Paramount Leader,China,Q15031,male,645.0,746.0,154.0
Gustavo Petro,President,Colombia,Q704022,male,273.0,288.0,61.0
Azali Assoumani,President,Comoros,Q515602,male,93.0,51.0,43.0
Félix Tshisekedi,President,Democratic Republic of the Congo,Q29032770,male,304.0,89.0,64.0
Denis Sassou Nguesso,President,Republic of the Congo,Q57418,male,239.0,118.0,71.0
Rodrigo Chaves Robles,President,Costa Rica,Q98017689,male,55.0,61.0,29.0
Andrej Plenković,Prime Minister,Croatia,Q11685764,male,324.0,173.0,55.0
Nikos Christodoulides,President,Cyprus,Q48905549,male,162.0,134.0,44.0
Andrej Babiš,Prime Minister,Czech Republic,Q10819807,male,573.0,262.0,62.0
Mette Frederiksen,Prime Minister,Denmark,Q5015,female,580.0,273.0,73.0
Ismaïl Omar Guelleh,President,Djibouti,Q57390,male,101.0,74.0,56.0
Roosevelt Skerrit,Prime Minister,Dominica,Q57823,male,88.0,46.0,41.0
Luis Abinader,President,Dominican Republic,Q16594097,male,311.0,86.0,39.0
Daniel Noboa,President,Ecuador,Q112075625,male,293.0,123.0,51.0
Abdel Fattah el-Sisi,President,Egypt,Q307871,male,334.0,325.0,89.0
Nayib Bukele,President,El Salvador,Q17712353,male,513.0,477.0,70.0
Teodoro Obiang Nguema Mbasogo,President,Equatorial Guinea,Q57385,male,296.0,188.0,73.0
Isaias Afwerki,President,Eritrea,Q57348,male,186.0,162.0,65.0
Kristen Michal,Prime Minister,Estonia,Q1789192,male,56.0,30.0,44.0
Mswati III,King,Eswatini,Q57340,male,254.0,60.0,75.0
Abiy Ahmed,Prime Minister,Ethiopia,Q50365049,male,424.0,289.0,82.0
Sitiveni Rabuka,Prime Minister,Fiji,Q981549,male,231.0,143.0,35.0
Petteri Orpo,Prime Minister,Finland,Q6029546,male,128.0,93.0,50.0
Emmanuel Macron,President,France,Q3052772,male,624.0,536.0,165.0
Brice Oligui Nguema,President,Gabon,Q122067521,male,129.0,49.0,34.0
Adama Barrow,President,Gambia,Q27917049,male,320.0,99.0,58.0
Irakli Kobakhidze,Prime Minister,Georgia,Q27885302,male,257.0,123.0,41.0
Friedrich Merz,Chancellor,Germany,Q566257,male,554.0,327.0,85.0
John Mahama,President,Ghana,Q50678,male,243.0,142.0,71.0
Kyriakos Mitsotakis,Prime Minister,Greece,Q552751,male,485.0,168.0,72.0
Cécile La Grenade,Governor-General,Grenada,Q11964294,female,28.0,49.0,31.0
Dickon Mitchell,Prime Minister,Grenada,Q112679881,male,51.0,29.0,21.0
Bernardo Arévalo,President,Guatemala,Q107254030,male,424.0,162.0,38.0
