person,position,country,wikidata_id,gender
Hibatullah Akhundzada,Supreme Leader,Afghanistan,Q24237654,male
Edi Rama,Prime Minister,Albania,Q316901,male
Abdelmadjid Tebboune,President,Algeria,Q2821166,male
João Lourenço,President,Angola,Q28650390,male
Rodney Williams,Governor-General,Antigua and Barbuda,Q17566330,male
Gaston Browne,Prime Minister,Antigua and Barbuda,Q17177542,male
Javier Milei,President,Argentina,Q52395487,male
Nikol Pashinyan,Prime Minister,Armenia,Q7035479,male
Sam Mostyn,Governor-General,Australia,Q105100733,female
Anthony Albanese,Prime Minister,Australia,Q335697,male
Christian Stocker,Chancellor,Austria,Q64576653,male
Ilham Aliyev,President,Azerbaijan,Q57371,male
Cynthia A. Pratt,Governor-General,Bahamas,Q4376482,female
Hamad bin Isa Al Khalifa,King,Bahrain,Q57352,male
Tarique Rahman,Prime Minister,Bangladesh,Q7686199,male
Mia Mottley,Prime Minister,Barbados,Q6827147,female
Alexander Lukashenko,Chairman,All-Belarusian People's Assembly,Q2866,male
Bart De Wever,Prime Minister,Belgium,Q336599,male
Froyla Tzalam,Governor-General,Belize,Q106601151,female
Johnny Briceño,Prime Minister,Belize,Q6266369,male
Patrice Talon,President,Benin,Q16669148,male
Tshering Tobgay,Prime Minister,Bhutan,Q7849613,male
Rodrigo Paz,President,Bolivia,Q110520817,male
Christian Schmidt,High Representative,Bosnia and Herzegovina,Q107018,male
Duma Boko,President,Botswana,Q18618881,male
Luiz Inácio Lula da Silva,President,Brazil,Q37181,male
Andrey Gyurov,Prime Minister,Bulgaria,Q110313525,male
Jean Emmanuel Ouédraogo,Prime Minister,Burkina Faso,Q116056730,male
Évariste Ndayishimiye,President,Burundi,Q27329764,male
Hun Manet,Prime Minister,Cambodia,Q13024351,male
Paul Biya,President,Cameroon,Q57272,male
Mary Simon,Governor General,Canada,Q6780723,female
Mark Carney,Prime Minister,Canada,Q192533,male
Ulisses Correia e Silva,Prime Minister,Cape Verde,Q23899522,male
Faustin-Archange Touadéra,President,Central African Republic,Q57758,male
Mahamat Déby,President,Chad,Q16206405,male
Gabriel Boric,President,Chile,Q16297876,male
Xi Jinping,Paramount Leader,China,Q15031,male
Gustavo Petro,President,Colombia,Q704022,male
Azali Assoumani,President,Comoros,Q515602,male
Félix Tshisekedi,President,Democratic Republic of the Congo,Q29032770,male
Denis Sassou Nguesso,President,Republic of the Congo,Q57418,male
Rodrigo Chaves Robles,President,Costa Rica,Q98017689,male
Andrej Plenković,Prime Minister,Croatia,Q11685764,male
Nikos Christodoulides,President,Cyprus,Q48905549,male
Andrej Babiš,Prime Minister,Czech Republic,Q10819807,male
Mette Frederiksen,Prime Minister,Denmark,Q5015,female
Ismaïl Omar Guelleh,President,Djibouti,Q57390,male
Roosevelt Skerrit,Prime Minister,Dominica,Q57823,male
Luis Abinader,President,Dominican Republic,Q16594097,male
Daniel Noboa,President,Ecuador,Q112075625,male
Abdel Fattah el-Sisi,President,Egypt,Q307871,male
Nayib Bukele,President,El Salvador,Q17712353,male
Teodoro Obiang Nguema Mbasogo,President,Equatorial Guinea,Q57385,male
Isaias Afwerki,President,Eritrea,Q57348,male
Kristen Michal,Prime Minister,Estonia,Q1789192,male
Mswati III,King,Eswatini,Q57340,male
Abiy Ahmed,Prime Minister,Ethiopia,Q50365049,male
Sitiveni Rabuka,Prime Minister,Fiji,Q981549,male
Petteri Orpo,Prime Minister,Finland,Q6029546,male
Emmanuel Macron,President,France,Q3052772,male
Brice Oligui Nguema,President,Gabon,Q122067521,male
Adama Barrow,President,Gambia,Q27917049,male
Irakli Kobakhidze,Prime Minister,Georgia,Q27885302,male
Friedrich Merz,Chancellor,Germany,Q566257,male
John Mahama,President,Ghana,Q50678,male
Kyriakos Mitsotakis,Prime Minister,Greece,Q552751,male
Cécile La Grenade,Governor-General,Grenada,Q11964294,female
Dickon Mitchell,Prime Minister,Grenada,Q112679881,male
Bernardo Arévalo,President,Guatemala,Q107254030,male
Irfaan Ali,President,Guyana,Q64840184,male
Alix Didier Fils-Aimé,President,Haiti,Q131140314,male
Nasry Asfura,President,Honduras,Q16146159,male
Viktor Orbán,Prime Minister,Hungary,Q57641,male
Kristrún Frostadóttir,Prime Minister,Iceland,Q108856371,female
Narendra Modi,Prime Minister,India,Q1058,male
Prabowo Subianto,President,Indonesia,Q2107268,male
Ali Khamenei,Supreme Leader,Iran,Q57336,male
Mohammed Shia' al-Sudani,Prime Minister,Iraq,Q3700793,male
Micheál Martin,Prime Minister,Ireland,Q920403,male
Benjamin Netanyahu,Prime Minister,Israel,Q43723,male
Giorgia Meloni,Prime Minister,Italy,Q451791,female
Alassane Ouattara,President,Ivory Coast,Q57413,male
Andrew Holness,Prime Minister,Jamaica,Q505200,male
Sanae Takaichi,Prime Minister,Japan,Q1705028,female
Kassym-Jomart Tokayev,President,Kazakhstan,Q200881,male
William Ruto,President,Kenya,Q195725,male
Taneti Maamau,President,Kiribati,Q23034482,male
Mishal Al-Ahmad Al-Jaber Al-Sabah,Emir,Kuwait,Q12243161,male
Sadyr Japarov,President,Kyrgyzstan,Q25597826,male
Thongloun Sisoulith,General Secretary of the People's Revolutionary Party,Lao People's Revolutionary Party,Q58323,male
Evika Siliņa,Prime Minister,Latvia,Q61121565,female
Nawaf Salam,Prime Minister,Lebanon,Q638463,male
